date, pm25, pm10, o3, no2, so2
2016/12/24, 31, 10, 23, , 63
2016/12/25, 33, 12, 24, , 10
2016/12/26, 36, 11, 22, , 30
2016/12/27, 32, 17, 24, , 40
2016/12/28, 48, 13, 22, , 28
2016/12/29, 44, 15, 21, , 2
2016/12/30, 50, 18, 22, , 5
2016/12/31, 45, 17, 24, , 4
2017/1/1, 49, 17, 27, , 23
2017/1/2, 46, 14, 29, , 
2016/9/3, 27, 28, 35, , 3
2016/9/4, 58, 29, 36, , 5
2016/9/5, 68, 33, 44, , 3
2016/9/6, 64, 36, 39, , 3
2016/9/7, 65, 41, 31, , 5
2016/9/8, 47, 18, 30, 5, 10
2016/9/9, 23, 15, 30, 2, 7
2016/9/10, 18, 11, 24, 2, 4
2016/9/11, 43, 22, 26, 3, 2
2016/9/12, 43, 24, 28, 3, 1
2016/9/13, 35, 13, 23, 2, 4
2016/9/14, 19, 11, 22, 3, 14
2016/9/15, 18, 9, 22, 3, 33
2016/9/16, 16, 9, 24, 4, 8
2016/9/17, 29, 11, 36, 6, 3
2016/9/18, 39, 15, 37, 4, 6
2016/9/19, 48, 16, 31, 5, 2
2016/9/20, 53, 25, 32, 3, 53
2016/9/21, 44, 24, 29, 4, 35
2016/9/22, 26, 13, 24, 3, 36
2016/9/23, 16, 9, 25, 5, 37
2016/9/24, 33, 15, 31, 7, 17
2016/9/25, 24, 8, 22, 3, 40
2016/9/26, 23, 12, 28, 4, 32
2016/9/27, 30, 14, 32, 5, 16
2016/9/28, 45, 18, 33, 3, 22
2016/9/29, 35, 20, 35, 4, 1
2016/9/30, 41, 20, 34, 4, 
2016/4/1, 23, , 33, 3, 6
2016/4/2, 37, , 34, 2, 
2016/4/3, 41, , 31, 1, 16
2016/4/4, 60, , 30, 3, 18
2016/4/5, 19, , 33, 3, 16
2016/4/6, 38, , 35, 4, 5
2016/4/7, 57, , 32, 4, 16
2016/4/8, 51, , 32, 2, 11
2016/4/9, 44, , 33, 3, 19
2016/4/10, 25, , 31, , 20
2016/4/11, 49, , , , 6
2016/4/12, 41, , , , 1
2016/4/13, 35, , 28, 1, 
2016/4/14, 98, , 38, 3, 4
2016/4/15, 134, , 27, 1, 2
2016/4/16, 33, , 34, 3, 3
2016/4/17, 20, , 31, 6, 4
2016/4/18, 20, , 34, 5, 12
2016/4/19, 42, , 34, 5, 21
2016/4/20, 19, , 32, 6, 5
2016/4/21, 27, , 30, 6, 9
2016/4/22, 15, , 34, 3, 6
2016/4/23, 22, , 30, 4, 9
2016/4/24, 16, , 34, 3, 6
2016/4/25, 24, , 36, 5, 8
2016/4/26, 33, , 35, 7, 30
2016/4/27, 28, , 29, 5, 1
2016/4/28, 35, , 33, 7, 
2016/4/29, 48, , 35, 6, 
2016/4/30, 52, , 36, 4, 3
2016/5/1, 26, , 42, 5, 
2016/5/2, 24, , 46, 6, 
2016/5/3, 29, , 46, 5, 
2016/5/4, 38, , 37, 7, 
2016/5/5, 32, , 34, 2, 
2016/5/6, 21, , , , 
2016/5/8, 17, , 36, 1, 
2016/5/9, 42, , 37, 2, 
2016/5/10, 9, , 36, 2, 
2016/5/11, 21, 15, 34, 4, 
2016/5/12, 16, 12, 32, 9, 
2016/5/13, 28, 11, 35, 5, 
2016/5/14, 24, 9, 37, 4, 
2016/5/17, 17, 18, 39, 5, 
2016/1/5, 23, 64, 25, 6, 
2016/1/6, 26, 17, 29, 5, 
2016/1/7, 43, 12, 30, 2, 
2016/1/8, 20, 9, , 1, 
2016/1/9, 17, 13, , 3, 
2016/1/10, 15, 20, , , 
2016/1/11, 35, 25, 29, 5, 
2016/1/12, 39, 21, 23, 10, 
2016/1/13, 43, 12, 25, 6, 
2016/1/14, 26, 23, 20, 6, 
2016/1/15, 51, 29, 24, 6, 2
2016/1/16, 27, 7, 24, 3, 11
2016/1/17, 20, 10, 23, 5, 2
2016/1/18, 23, 18, 24, 8, 6
2016/1/19, 68, 16, 27, 8, 12
2016/1/20, 25, 17, 28, 7, 1
2016/1/21, 30, 34, 21, 9, 6
2016/1/22, 58, 30, 19, 6, 33
2016/1/23, 57, 11, 23, 3, 16
2016/1/24, 26, 28, 24, 4, 13
2016/1/25, 44, 24, 25, 7, 6
2016/1/26, 49, 11, 21, 9, 14
2016/1/27, 25, 17, 25, 9, 17
2016/1/28, 48, 16, 23, 9, 16
2016/1/29, 42, 13, 23, 5, 3
2016/1/30, 30, 8, 24, 3, 2
2016/1/31, 24, 9, 27, 4, 
2016/2/1, 26, 13, 22, 10, 
2016/2/2, 38, 21, 19, 9, 
2016/2/3, 94, 16, 15, 7, 
2016/2/4, 86, 12, 27, 5, 1
2016/2/19, 15, 9, 25, 5, 17
2016/2/20, 30, 8, 30, 3, 35
2016/2/21, 34, 32, 30, 3, 6
2016/2/22, 55, 118, 27, 9, 5
2016/2/23, 168, 44, 27, 7, 39
2016/2/24, 81, 15, 32, 5, 55
2016/2/25, 43, 15, 31, 5, 2
2016/2/26, 29, 10, 29, 3, 33
2016/2/27, 21, 5, 29, 3, 35
2016/2/28, 13, 11, 29, 2, 10
2016/2/29, 34, 13, 27, 6, 12
2016/3/1, 43, 15, 32, 8, 19
2016/3/2, 50, 18, 25, 5, 24
2016/3/3, 52, 13, 32, 6, 9
2016/3/4, 29, 17, 27, 4, 24
2016/3/5, 40, 15, 29, 3, 5
2016/3/6, 44, 10, 28, 3, 16
2016/3/7, 23, 10, 29, 3, 26
2016/3/8, 25, 13, 29, 5, 2
2016/3/9, 35, 11, 26, 4, 2
2016/3/10, 31, 16, 30, 4, 3
2016/3/11, 35, 14, 29, 6, 8
2016/3/12, 39, 13, 33, 6, 3
2016/3/13, 34, 32, 35, 6, 5
2016/3/14, 29, 14, 36, 4, 13
2016/3/15, 44, 12, 32, 4, 19
2016/3/16, 25, 10, 31, 4, 4
2016/3/17, 20, 21, 35, 6, 2
2016/3/18, 44, 20, 29, 6, 1
2016/3/19, 53, 10, 31, 3, 1
2016/3/20, 14, 10, 35, 3, 4
2016/3/21, 16, 9, 34, 5, 6
2016/3/22, 25, 10, 30, 3, 5
2016/3/23, 28, 15, 31, 4, 7
2016/3/24, 36, 17, 32, 5, 7
2016/3/25, 49, 20, 35, 4, 3
2016/3/26, 60, , 26, 5, 6
2016/3/27, 24, , 31, 4, 9
2016/3/28, 32, , 30, 5, 15
2016/3/29, 37, , 32, 6, 9
2016/3/30, 40, , 31, 2, 4
2016/3/31, 30, , 32, 3, 5
2015/10/1, 26, 17, 40, 6, 4
2015/10/2, 40, 24, 23, 3, 
2015/10/3, 60, 26, 31, 2, 1
2015/10/4, 40, 48, 25, 1, 4
2015/10/5, 58, 46, 23, 4, 3
2015/10/6, 34, 11, 29, 4, 1
2015/10/7, 12, 10, 33, 4, 13
2015/10/8, 30, 18, 36, 5, 9
2015/10/9, 47, 18, 27, 2, 3
2015/10/10, 31, 20, 24, 2, 1
2015/10/11, 14, 18, 27, 2, 1
2015/10/12, 19, 17, 27, 4, 
2015/10/13, 15, 21, 25, 4, 
2015/10/30, 43, 16, 31, 4, 3
2015/10/31, 37, 10, 33, 4, 3
2015/11/1, 21, 6, 33, 1, 
2015/11/2, 15, 10, 33, 1, 1
2015/11/3, 17, 19, 28, 5, 
2015/11/4, 34, 14, 28, 4, 
2015/11/5, 19, 16, 21, 8, 
2015/11/6, 31, 12, 27, 9, 
2015/11/7, 27, 16, 29, 4, 
2015/11/8, 45, 34, 30, 2, 
2015/11/9, 46, 22, 30, 7, 
2015/11/10, 50, 19, 30, 11, 
2015/11/11, 50, 25, 27, 14, 
2015/11/12, 64, 28, 29, 11, 
2015/11/13, 62, 24, 30, 10, 
2015/11/14, 63, 25, 28, 5, 
2015/11/15, 64, 16, 29, 3, 
2015/11/16, 39, 20, 25, 8, 
2015/11/17, 50, 21, 31, 9, 
2015/11/18, 47, 22, 27, 8, 
2015/11/19, 61, 27, 25, 12, 
2015/11/20, 64, 18, 29, 12, 
2015/11/21, 53, 34, 25, 5, 
2015/11/22, 72, 9, 26, 3, 
2015/11/23, 20, 10, 23, 5, 
2015/11/24, 26, 9, 27, 10, 
2015/11/25, 20, 13, 25, 6, 
2015/11/26, 40, 15, 24, 8, 
2015/11/27, 36, 14, 25, 10, 
2015/11/28, 32, 15, 22, 6, 
2015/11/29, 36, 10, 30, 3, 
2015/11/30, 33, 14, 28, 6, 
2015/12/1, 34, 22, 21, 8, 
2015/12/2, 50, 27, 22, 14, 
2015/12/3, 58, 23, 25, 10, 
2015/12/4, 59, 19, 24, 11, 
2015/12/5, 55, 24, 32, 6, 
2015/12/6, 61, 22, 30, 3, 
2015/12/7, 57, 28, 26, 6, 
2015/12/8, 54, 23, 19, 8, 
2015/12/9, 65, 21, 20, 8, 
2015/12/10, 53, 23, 31, 8, 
2015/12/11, 59, 25, 24, 6, 
2015/12/12, 63, 23, 27, 3, 
2015/12/13, 49, 22, 31, 1, 
2015/12/14, 33, 44, 23, 2, 
2015/12/15, 67, 42, 16, 8, 
2015/12/16, 74, 41, 21, 10, 
2015/12/17, 78, 44, 19, 10, 
2015/12/18, 87, 47, 15, 9, 
2015/12/19, 75, 42, 16, 9, 
2015/12/20, 78, 36, 20, 8, 
2015/12/21, 63, 12, 23, 7, 
2015/12/22, 26, 22, 26, 9, 
2015/12/23, 57, 38, 21, 11, 
2015/12/24, 71, 33, 22, 6, 
2015/12/25, 70, 35, 24, 4, 
2015/12/26, 75, 29, 25, 3, 
2015/12/27, 65, 25, 31, 2, 
2015/12/28, 50, 52, 29, 2, 
2015/12/29, 78, 19, 22, 12, 
2015/12/30, 42, 26, 25, 6, 
2015/12/31, 45, , , , 
2016/1/3, 27, 16, 25, 1, 
2016/1/4, 13, 35, 22, , 
2015/7/1, 39, 9, 29, 2, 
2015/7/2, 20, 14, 34, 3, 
2015/7/3, 23, 10, 26, 4, 
2015/7/4, 25, 9, 29, 4, 
2015/7/5, 22, 20, 40, 3, 
2015/7/6, 53, 20, , 3, 
2015/7/7, 44, 15, 32, 4, 
2015/7/8, 35, 27, 28, 4, 
2015/7/9, 55, 25, 31, 2, 
2015/7/10, 50, 17, 28, 2, 
2015/7/11, 38, 14, 31, 3, 
2015/7/12, 27, 25, 35, 4, 
2015/7/13, 59, 22, 36, 3, 
2015/7/14, 57, 22, 36, 4, 
2015/7/15, 53, , , , 
2015/7/18, 36, 11, 23, 3, 
2015/7/19, 33, 9, 21, 3, 
2015/7/20, 27, 10, 24, 3, 
2015/7/21, 21, 14, 29, 3, 
2015/7/22, 29, 18, 40, 5, 
2015/7/23, 28, 13, 19, 2, 
2015/7/24, 33, 11, 36, 2, 
2015/7/25, 21, 20, 44, 1, 
2015/7/26, 46, , , , 
2015/7/28, 41, 14, 25, 2, 
2015/7/29, 31, 12, 14, 2, 
2015/7/30, 17, 16, 24, 3, 
2015/7/31, 18, 18, 32, 4, 
2015/8/1, 42, 20, 34, 2, 
2015/8/2, 46, 26, 32, 2, 
2015/8/3, 58, 11, 26, 3, 9
2015/8/4, 25, 19, 36, 8, 1
2015/8/5, 31, 27, 35, 8, 
2015/8/6, 61, 17, 27, 4, 
2015/8/7, 36, 24, 39, 6, 1
2015/8/8, 53, 33, 37, 4, 1
2015/8/9, 71, 42, 36, 4, 3
2015/8/10, 77, 27, 34, 4, 6
2015/8/11, 60, 20, 26, 5, 1
2015/8/12, 46, 12, 30, 3, 1
2015/8/13, 24, 11, 32, 2, 1
2015/8/14, 30, 8, 25, 2, 
2015/8/15, 20, 14, 19, 2, 4
2015/8/16, 27, 9, 25, 3, 1
2015/8/17, 17, 10, 31, 3, 3
2015/8/18, 29, 28, 29, 5, 2
2015/8/19, 59, 30, 35, 7, 2
2015/8/20, 62, 35, 31, 3, 11
2015/8/21, 61, 21, 25, 2, 
2015/8/22, 49, 11, 25, 2, 1
2015/8/23, 27, 14, 27, 2, 3
2015/8/24, 26, 12, 35, 3, 15
2015/8/25, 26, 12, 36, 4, 14
2015/8/26, 33, 11, 25, 6, 3
2015/8/27, 27, 14, 29, 4, 1
2015/8/28, 27, 44, 36, 2, 3
2015/8/29, 70, 58, 31, 2, 4
2015/8/30, 82, 29, 21, 3, 2
2015/8/31, 47, 14, 27, 4, 
2015/9/1, 28, 16, 31, 3, 3
2015/9/2, 32, 16, 33, 2, 1
2015/9/3, 31, 17, 33, 3, 5
2015/9/4, 33, 19, 34, 6, 17
2015/9/5, 49, 17, 38, 5, 
2015/9/6, 51, 17, 24, 3, 7
2015/9/7, 54, 25, , 3, 20
2015/9/8, 63, 21, 41, 8, 
2015/9/9, 59, 17, 27, 7, 
2015/9/10, 39, 52, 32, 5, 1
2015/9/11, 31, 13, 28, 3, 5
2015/9/12, 36, 14, 32, 2, 7
2015/9/13, 27, 13, 26, 3, 
2015/9/14, 30, 11, 30, 3, 3
2015/9/15, 20, 22, 25, 2, 3
2015/9/16, 33, 12, 29, 5, 
2015/9/17, 22, 9, 36, 5, 1
2015/9/18, 30, 14, 33, 6, 1
2015/9/19, 28, 24, 30, 3, 1
2015/9/20, 39, 30, 33, 4, 1
2015/9/21, 52, 18, 31, 10, 1
2015/9/22, 41, 14, 31, 4, 
2015/9/23, 19, 23, 34, 5, 
2015/9/24, 29, 24, 37, 3, 
2015/9/25, 56, 28, 35, 7, 
2015/9/26, 58, 26, 39, 8, 1
2015/9/27, 56, 22, 37, 6, 
2015/9/28, 52, 15, 39, 3, 
2015/9/29, 36, 16, 38, 7, 5
2015/9/30, 27, 13, 38, 8, 2
2015/4/1, 49, 18, 33, 2, 
2015/4/2, 55, 21, 30, 1, 
2015/4/3, 51, 26, 32, 3, 
2015/4/4, 67, , , , 
2015/4/6, 68, 23, , 2, 
2015/4/7, 60, 30, 30, 2, 1
2015/4/8, 62, 30, 24, 3, 1
2015/4/9, 65, 35, , 2, 
2015/4/10, 70, 11, , 3, 1
2015/4/11, 45, 13, , 1, 3
2015/4/12, 44, 35, 35, 4, 
2015/4/13, 79, 44, 31, 2, 1
2015/4/14, 90, 14, 28, 3, 1
2015/4/15, 45, 13, 29, 2, 5
2015/4/16, 44, 20, 31, 3, 1
2015/4/17, 59, 10, 27, 3, 2
2015/4/18, 35, 8, 30, 1, 4
2015/4/19, 38, 14, 33, 3, 14
2015/4/20, 17, 14, 41, 3, 1
2015/4/21, 44, 33, 35, 2, 
2015/4/22, 65, 10, 35, 3, 
2015/4/23, 31, 13, 32, 5, 2
2015/4/24, 44, 10, 30, 1, 3
2015/4/25, 28, 12, 35, , 15
2015/4/26, 32, 17, 34, 2, 8
2015/4/27, 46, 10, 33, 3, 3
2015/4/28, 25, 10, 29, 3, 3
2015/4/29, 20, 9, 30, 3, 5
2015/4/30, 25, 10, 36, 2, 2
2015/5/1, 30, 12, , 3, 4
2015/5/2, 30, 11, 21, 3, 
2015/5/3, 41, 15, 29, 1, 12
2015/5/4, 42, 18, 33, 2, 3
2015/5/5, 34, 11, , 2, 10
2015/5/6, 40, 16, 39, 3, 2
2015/5/7, 45, 22, 29, 1, 6
2015/5/8, 41, 19, 28, 2, 1
2015/5/9, 51, 19, , 1, 
2015/5/10, 43, 22, 47, 3, 1
2015/5/11, 53, 29, 50, 4, 2
2015/5/12, 59, 37, 49, 6, 1
2015/5/13, 75, 23, 41, 3, 
2015/5/14, 60, 19, 40, 3, 1
2015/5/15, 38, 18, 40, 3, 7
2015/5/16, 55, 18, 46, 2, 2
2015/5/17, 49, 18, 43, 3, 4
2015/5/18, 47, 20, 37, 3, 1
2015/5/19, 50, 24, 39, 3, 1
2015/5/20, 68, 19, 40, 3, 
2015/5/21, 72, 18, 43, 2, 
2015/5/22, 57, 17, , 1, 
2015/5/23, 40, 19, , 1, 
2015/5/24, 55, 14, , 1, 
2015/5/25, 30, 15, , 1, 
2015/5/26, 42, 21, , 4, 
2015/5/27, 48, 20, 46, 3, 
2015/5/28, 48, 28, 35, 1, 
2015/5/29, 61, 31, 31, 5, 
2015/5/30, 61, 11, 26, 3, 
2015/5/31, 29, 10, 28, 2, 
2015/6/1, 36, 14, 40, 2, 
2015/6/2, 38, 23, 45, 5, 
2015/6/3, 54, 23, 45, 3, 
2015/6/4, 57, 26, 34, 3, 
2015/6/5, 61, 29, , 2, 
2015/6/6, 61, 21, 42, 2, 
2015/6/7, 57, 24, 38, 5, 
2015/6/8, 56, 22, 33, 4, 
2015/6/9, 61, 29, 42, 1, 
2015/6/10, 71, 23, 27, 1, 
2015/6/11, 50, 16, 42, 2, 
2015/6/12, 36, 13, 35, 2, 
2015/6/13, 36, 10, 26, 1, 
2015/6/14, 27, 8, 38, 2, 
2015/6/15, 25, 10, 42, 2, 
2015/6/16, 45, 15, 49, 3, 
2015/6/17, 49, 17, 48, 3, 
2015/6/18, 47, 13, 48, 3, 
2015/6/19, 38, 12, 46, 2, 
2015/6/20, 40, 19, 35, 1, 
2015/6/21, 47, 21, 33, 2, 
2015/6/22, 42, 15, 32, 2, 
2015/6/23, 46, 12, 25, 3, 
2015/6/24, 24, 14, 35, 5, 
2015/6/25, 39, 21, 44, 4, 
2015/6/26, 50, 17, 47, 2, 
2015/6/27, 50, 20, 43, 6, 
2015/6/28, 53, 32, 35, 2, 
2015/6/29, 70, 29, 32, 1, 
2015/6/30, 61, 17, 21, 2, 
2015/1/2, 67, 13, 28, 5, 
2015/1/3, 40, 11, 25, 9, 
2015/1/4, 52, 20, 27, 11, 
2015/1/5, 62, 26, 22, 8, 1
2015/1/6, 75, 26, 26, 7, 1
2015/1/7, 67, 15, 24, 9, 1
2015/1/8, 38, 20, 24, 7, 
2015/1/9, 70, 19, 23, 9, 2
2015/1/10, 57, 20, 21, 6, 1
2015/1/11, 58, 22, 28, 11, 
2015/1/12, 66, 23, 26, 10, 1
2015/1/13, 70, 21, 28, 7, 5
2015/1/14, 61, 23, 13, 7, 13
2015/1/15, 62, 18, 30, 2, 
2015/1/16, 52, 13, 25, 5, 14
2015/1/17, 25, 12, 30, 1, 1
2015/1/19, 23, 10, , 7, 
2015/1/20, 18, 10, 23, 7, 3
2015/1/21, 32, 12, 27, 4, 15
2015/1/22, 27, 11, 27, 5, 1
2015/1/23, 36, 7, 20, 7, 
2015/1/24, 25, 10, 25, 4, 2
2015/1/25, 32, 7, 28, 5, 4
2015/1/26, 25, 10, 29, 10, 
2015/1/27, 37, 17, 26, 12, 
2015/1/28, 58, 21, 20, 11, 1
2015/1/29, 66, 13, 24, 3, 
2015/1/30, 32, 4, 24, 2, 
2015/1/31, 11, 9, 30, 2, 4
2015/2/1, 17, 15, 28, 3, 9
2015/2/2, 34, 14, 30, 2, 1
2015/2/3, 35, 10, 30, 4, 
2015/2/4, 25, 8, 31, 4, 1
2015/2/5, 13, 10, 21, 9, 
2015/2/6, 24, 12, 28, 5, 1
2015/2/7, 34, 13, 28, 4, 1
2015/2/8, 35, 10, 33, 2, 
2015/2/9, 37, 10, 36, 3, 
2015/2/10, 38, 28, 27, 5, 1
2015/2/11, 63, 16, 21, 9, 1
2015/2/12, 45, 25, 31, 4, 
2015/2/13, 63, 15, 31, 8, 3
2015/2/14, 55, 15, 31, 3, 9
2015/2/15, 41, 13, 29, 2, 2
2015/2/16, 27, 14, 27, 5, 11
2015/2/17, 43, 10, 29, 1, 7
2015/2/18, 29, 7, 31, 5, 1
2015/2/19, 21, 14, 34, 4, 
2015/2/20, 42, 17, 33, 8, 
2015/2/21, 55, 13, , 3, 1
2015/2/22, 52, 14, 27, 1, 1
2015/2/23, 38, 9, 26, 2, 1
2015/2/24, 30, 17, 28, 5, 
2015/2/25, 35, 11, 29, 3, 1
2015/2/26, 29, 11, 29, 4, 1
2015/2/27, 44, 7, 32, 2, 
2015/2/28, 24, 12, 28, 2, 
2015/3/1, 46, 8, 28, 3, 1
2015/3/2, 34, 12, 25, 3, 8
2015/3/3, 44, 8, 26, 4, 18
2015/3/4, 31, 11, 23, 6, 11
2015/3/5, 39, 20, 34, 3, 4
2015/3/6, 41, 16, 37, 4, 9
2015/3/7, 41, 14, 39, 4, 7
2015/3/8, 40, 19, 37, 10, 1
2015/3/9, 52, 24, 39, 5, 5
2015/3/10, 63, 23, 25, 4, 7
2015/3/11, 69, 31, 18, 6, 8
2015/3/12, 75, 23, 13, 6, 
2015/3/13, 54, 54, 10, 6, 
2015/3/14, 108, 21, 20, 4, 3
2015/3/15, 36, 13, 21, 2, 5
2015/3/16, 51, 17, 25, 4, 1
2015/3/17, 42, 11, 23, 1, 
2015/3/18, 50, 11, 11, 4, 17
2015/3/19, 37, 3, 19, 4, 10
2015/3/20, 18, 8, 11, 3, 5
2015/3/21, 42, 17, 18, 2, 8
2015/3/22, 51, 12, 20, 3, 1
2015/3/23, 38, 9, 19, 1, 
2015/3/24, 25, 11, 19, 5, 1
2015/3/25, 39, 13, 25, 2, 3
2015/3/26, 47, 13, 21, 2, 3
2015/3/27, 52, 10, 12, 8, 
2015/3/28, 25, 11, 18, 3, 
2015/3/29, 58, 10, 18, 7, 3
2015/3/30, 24, 13, 24, 4, 
2015/3/31, 42, 16, 31, 5, 
2014/10/5, 30, 9, 22, 2, 
2014/10/6, 21, 14, 19, 5, 3
2014/10/8, 20, 19, 13, 4, 4
2014/10/10, 15, 6, 19, 7, 
2014/10/11, 27, 5, 17, 3, 1
2014/10/12, 24, 4, 23, 1, 1
2014/10/13, 36, 19, 22, 5, 
2014/10/14, 27, 12, 20, 4, 
2014/10/15, 23, , 16, 2, 1
2014/10/16, 14, , 10, 2, 5
2014/10/17, 22, 14, 9, 3, 
2014/10/18, 30, 12, , 4, 
2014/10/19, 51, 33, 21, 6, 3
2014/10/20, 84, 46, 19, 11, 
2014/10/21, 119, 57, 19, 14, 
2014/10/22, 84, 40, 17, 7, 2
2014/10/23, 61, 26, , 7, 2
2014/10/24, 46, 17, , 10, 
2014/10/25, 71, 28, 23, 5, 2
2014/10/27, 71, 28, 27, 3, 
2014/10/29, 67, 31, 12, 4, 8
2014/10/30, 61, 35, 15, 5, 
2014/10/31, 57, 27, 20, 4, 
2014/11/1, 52, 22, 22, 6, 
2014/11/2, 55, 24, 20, 4, 
2014/11/4, 27, 10, 22, 3, 
2014/11/5, 10, 11, 19, 4, 
2014/11/6, 28, 13, 17, 4, 1
2014/11/7, 38, 13, 19, 4, 
2014/11/8, 26, 13, 18, 3, 6
2014/11/9, 23, 17, 23, 3, 
2014/11/10, 17, 10, 21, 3, 
2014/11/11, 25, 12, 20, 4, 
2014/11/12, 23, 18, 22, 1, 
2014/11/13, 44, 20, 21, 3, 3
2014/11/14, 34, 21, 19, 1, 12
2014/11/15, 21, 15, , 2, 
2014/11/17, 23, 10, , 3, 
2014/11/18, 37, 14, 17, 9, 4
2014/11/19, 44, , 19, 6, 
2014/11/20, 46, 21, 23, 3, 1
2014/11/21, 66, 29, 22, 6, 
2014/11/22, 67, 35, 25, 6, 
2014/11/23, 78, 48, , 5, 
2014/11/24, 99, 50, , 5, 3
2014/11/25, 19, 10, 26, 5, 1
2014/11/27, 38, 17, 30, 5, 5
2014/12/3, 19, , 23, 7, 
2014/12/4, 39, 18, 21, 8, 
2014/12/5, 48, 20, 24, 7, 
2014/12/6, 44, 17, 21, 9, 
2014/12/7, 40, 19, 26, 5, 
2014/12/8, 35, 11, 15, 4, 
2014/12/9, 20, 4, 27, 5, 
2014/12/10, 39, 12, 23, 7, 
2014/12/11, 32, 10, 23, 10, 
2014/12/12, 73, 17, 22, 14, 
2014/12/13, 58, 18, 19, 10, 
2014/12/14, 34, 18, 33, 1, 
2014/12/15, 23, 10, 28, 3, 1
2014/12/16, 24, 11, 21, 6, 1
2014/12/17, 32, 6, 26, 5, 4
2014/12/18, 25, 10, 23, 6, 2
2014/12/19, 46, 17, 22, 9, 9
2014/12/20, 53, 16, 21, 6, 5
2014/12/21, 48, 13, 22, 8, 2
2014/12/22, 55, 20, 22, 7, 4
2014/12/23, 58, 20, 20, 3, 4
2014/12/24, 53, 18, 22, 6, 1
2014/12/26, 61, 22, 26, 3, 
2014/12/27, 53, 13, 25, 6, 1
2014/12/28, 54, 15, 22, 6, 
2014/12/29, 81, 27, 25, 3, 1
2014/7/1, 30, 13, 24, 3, 3
2014/7/3, 51, 19, 40, 2, 
2014/7/4, 55, 20, 35, 4, 
2014/7/5, 42, 5, 12, 1, 
2014/7/6, 22, , 24, 1, 
2014/7/8, 38, 16, 40, 2, 
2014/7/9, 31, 28, 36, 2, 
2014/7/10, 57, 24, 47, 3, 
2014/7/11, 62, , 36, 2, 1
2014/7/13, 56, 17, 33, 5, 
2014/7/14, 55, 19, 49, 3, 1
2014/7/15, 55, 28, 40, 2, 
2014/7/16, 68, 26, 38, 4, 
2014/7/17, 60, 20, 20, 3, 
2014/7/24, 51, 20, 40, 2, 
2014/7/25, 54, 34, 42, 2, 1
2014/7/26, 72, 31, 44, 1, 
2014/7/27, 68, 18, 38, 3, 
2014/7/28, 49, 22, 37, 2, 
2014/7/29, 58, 25, 33, 1, 
2014/7/30, 53, 21, 33, 2, 
2014/7/31, 56, 18, 30, 3, 
2014/8/1, 48, 8, 20, 2, 
2014/8/2, 19, 9, 23, 2, 
2014/8/3, 19, , 29, 1, 
2014/8/5, 34, 10, 28, 3, 
2014/8/6, 23, 10, 18, 1, 
2014/8/7, 34, 9, 25, 3, 
2014/8/10, 5, 9, 28, 3, 
2014/8/11, 25, 14, 29, 3, 
2014/8/12, 27, 11, 35, 3, 
2014/8/13, 32, 16, 38, 2, 
2014/8/14, 37, 17, 43, 2, 
2014/8/15, 52, 12, 39, 3, 
2014/8/16, 37, 27, 30, 3, 
2014/8/17, 57, , 26, 5, 
2014/8/19, 656, 17, 37, 2, 1
2014/8/20, 53, 14, 27, 4, 
2014/8/21, 30, 10, 29, 3, 
2014/8/22, 19, 10, 30, 4, 
2014/8/23, 32, 15, 40, 3, 1
2014/8/24, 43, , 32, 4, 1
2014/8/26, 53, 14, 27, 4, 
2014/8/27, 34, 13, 28, 2, 
2014/8/28, 34, 10, 36, 2, 
2014/8/29, 26, 14, 33, 2, 
2014/4/1, 57, 9, 42, 3, 
